3.816655	5.088911	いくぜ！
8.547514	10.217034	あ匂いがヤバい
12.679936	14.630164	にゃぁ゛あ゛あ゛ぁ゛あ゛ぁ゛
16.428958	19.202838	あっ けふっ ぇ゛ (咳き込む)
21.388663	22.949013	(軽く咳き込む)
24.230256	25.115845	まずい
25.999846	27.084917	まずい…
28.326087	32.221709	これ 何回飲んでもまずいんだけど
35.352916	38.654468	これ これまずいよぉ
44.317912	46.393365	変な味するもん！
50.121862	52.516769	これ変な味する
56.404992	62.491911	(泣く)
62.545756	64.540968	これ これやだ
72.793015	76.032938	にゃぁ はぁ はぁ
79.591271	83.328346	はぁあ はぇ にゃ
87.333728	88.649859	センパイのために
91.766486	93.177775	食レポするから
127.755972	128.828814	うえぇ…
129.862921	132.367065	あぁー！最悪！あぁー！
137.634855	145.724677	あ゛ぁ゛ー！あダメだ あー！ あー！ あっ あー！ あっ
153.195064	156.179625	マジでさ3秒口に入れるだけで辛いんだけど
171.253809	173.863375	これは ホントにヤバい マジで
197.938560	198.798618	臭い
203.788117	208.359952	すごい 強烈な 強い
213.528829	216.947834	鼻を うぁーって駆け抜けるわけ
227.778749	233.051029	ホントに ホントに ホントに ホントに ヤバい
248.951272	250.426611	こんなに臭いって思ったこと無い
254.159846	256.042682	臭いって思ったこと無いもんユメミ
